"full_name","ad","tp_cal","e","q","i","om","w","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","name","epoch","epoch_cal","a","moid","moid_ld","first_obs","last_obs"
"     C/2002 L1 (SOHO)",,2002-06-06.0,1.0000,0.005,143.44,17.21,93.80,,PAR,0,,8,T,,,,,SOHO,2452431.5,2002-06-06.0,,,,2002-06-05,2002-06-05
"     C/2002 L2 (SOHO)",,2002-06-06.6,1.0000,0.005,147.52,345.87,67.74,,PAR,0,,11,T,,,,,SOHO,2452432.1,2002-06-06.6,,,,2002-06-06,2002-06-06
"     C/2002 L3 (SOHO)",,2002-06-07.6,1.0000,0.007,143.32,12.96,90.70,,PAR,0,,15,T,,,,,SOHO,2452433.1,2002-06-07.6,,,,2002-06-07,2002-06-07
"     C/2002 L4 (SOHO)",,2002-06-07.7,1.0000,0.005,144.37,13.56,91.07,,PAR,0,,17,T,,,,,SOHO,2452433.2,2002-06-07.7,,,,2002-06-07,2002-06-07
"     C/2002 L5 (SOHO)",,2002-06-11.8,1.0000,0.006,145.52,329.14,51.00,,PAR,0,,7,T,,,,,SOHO,2452437.3,2002-06-11.8,,,,2002-06-11,2002-06-11
"     C/2002 L6 (SOHO)",,2002-06-08.7,1.0000,0.006,143.30,0.46,80.51,,PAR,0,,9,T,,,,,SOHO,2452434.2,2002-06-08.7,,,,2002-06-08,2002-06-08
"     C/2002 L7 (SOHO)",,2002-06-14.1,1.0000,0.005,145.89,346.92,67.22,,PAR,0,,8,T,,,,,SOHO,2452439.7,2002-06-14.1,,,,2002-06-13,2002-06-13
"     C/2002 L8 (SOHO)",,2002-06-15.7,1.0000,0.005,146.04,350.37,71.19,,PAR,0,,33,T,,,,,SOHO,2452441.2,2002-06-15.7,,,,2002-06-15,2002-06-15
"     C/2002 L9 (NEAT)",8859.14,2004-04-05.9,0.9984,7.033,68.44,110.45,231.43,2.95e+05,COM,1680,,330,,,,,,NEAT,2453275.5,2004-09-27.0,4433,6.32,2.46e+03,2002-06-06,2007-01-11
"     C/2002 M1 (SOHO)",,2002-06-21.1,1.0000,0.005,144.96,7.31,85.64,,PAR,0,,11,T,,,,,SOHO,2452446.6,2002-06-21.1,,,,2002-06-20,2002-06-20
