"full_name","ad","tp_cal","e","q","i","om","w","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","name","epoch","epoch_cal","a","moid","moid_ld","first_obs","last_obs"
"    1P/Halley",35.28,1986-02-08.1,0.9679,0.575,162.20,59.07,112.21,75.9,HTC,57852,0,8518,,4.9e-10,1.6e-10,,,Halley,2439907.5,1968-02-21.0,17.93,0.0745,29,1835-08-21,1994-01-11
"    2P/Encke",4.10,2023-10-21.7,0.8483,0.337,11.47,334.27,187.05,3.31,ETc,2428,1,587,,2.8e-10,4.1e-12,,,Encke,2459780.5,2022-07-20.0,2.22,0.168,65.3,2018-11-05,2025-06-29
"    3D/Biela",6.19,1832-11-26.6,0.7513,0.879,13.22,250.67,221.66,6.65,JFc,,,26,,3.9e-09,-2.5e-10,,,Biela,2390520.5,1832-12-03.0,3.535,0.000518,0.202,,
"    4P/Faye",6.02,2021-09-05.6,0.5845,1.578,8.16,194.80,205.99,7.4,JFc,3593,0,3562,,4.0e-09,3.2e-10,-7.1e-10,-37.7,Faye,2458522.5,2019-02-08.0,3.798,0.589,229,2013-05-23,2023-03-25
"    5D/Brorsen",5.61,1879-03-31.0,0.8098,0.590,29.38,102.97,14.95,5.46,JFc,,,127,,1.3e-08,1.3e-09,,,Brorsen,2407440.5,1879-04-01.0,3.101,0.367,143,,
"    6P/d'Arrest",5.64,2021-09-17.7,0.6127,1.355,19.51,138.94,178.11,6.54,JFc,2913,1,1093,,1.8e-10,-8.5e-10,,,d'Arrest,2459302.5,2021-03-29.0,3.497,0.343,133,2014-03-10,2022-03-01
"    7P/Pons-Winnecke",5.60,2015-01-30.5,0.6376,1.239,22.33,93.42,172.51,6.32,JFc,37122,0,1679,,6.4e-11,-5.2e-12,-1.0e-10,150,Pons-Winnecke,2457137.5,2015-04-25.0,3.419,0.226,87.8,1921-04-28,2022-12-16
"    8P/Tuttle",10.37,2008-01-27.0,0.8198,1.027,54.98,270.34,207.51,13.6,JFC,20161,0,1768,,4.2e-10,-1.7e-11,-4.6e-11,67.5,Tuttle,2454701.5,2008-08-23.0,5.7,0.0953,37.1,1967-01-07,2022-03-20
"    9P/Tempel 1",4.75,2016-08-02.5,0.5097,1.543,10.47,68.75,179.20,5.58,JFc,5887,0,3275,,2.0e-11,1.2e-11,,,Tempel,2457461.5,2016-03-14.0,3.146,0.529,206,2008-10-25,2024-12-07
"   10P/Tempel 2",4.71,2015-11-14.9,0.5365,1.421,12.03,117.80,195.53,5.37,JFc,8107,0,4616,,2.4e-10,5.6e-12,5.9e-11,,Tempel,2456492.5,2013-07-19.0,3.065,0.41,160,2003-03-07,2025-05-17
"   11P/Tempel-Swift-LINEAR",5.19,2020-11-26.0,0.5774,1.390,14.44,238.99,167.77,5.96,JFc,7002,0,1182,,,,,,Tempel-Swift-LINEAR,2458789.5,2019-11-02.0,3.289,0.403,157,2001-12-07,2021-02-07
"   12P/Pons-Brooks",33.59,2024-04-21.1,0.9546,0.781,74.19,255.86,198.99,71.2,HTC,26285,0,8044,,,,,,Pons-Brooks,2460211.5,2023-09-24.0,17.18,0.18,70.1,1953-06-20,2025-06-07
"   13P/Olbers",32.19,2024-06-30.7,0.9297,1.172,44.63,85.86,64.53,68.1,HTC,50351,0,2456,,3.5e-09,5.9e-10,,,Olbers,2459101.5,2020-09-09.0,16.68,0.47,183,1887-08-27,2025-07-05
"   14P/Wolf",5.77,2009-02-27.3,0.3570,2.732,27.94,202.11,159.23,8.76,JFc,11959,0,383,,,,,,Wolf,2456129.5,2012-07-21.0,4.248,1.75,679,1992-07-27,2025-04-24
"   15P/Finlay",6.00,2014-12-27.0,0.7202,0.977,6.80,13.75,347.63,6.52,JFc,5058,0,1655,,2.2e-09,-2.3e-10,1.6e-09,,Finlay,2457327.5,2015-11-01.0,3.49,0.00923,3.59,2008-04-27,2022-03-03
"   16P/Brooks 2",5.29,2014-06-14.7,0.5690,1.455,4.31,159.34,220.17,6.2,JFc,2826,1,256,,9.2e-09,-3.7e-09,,,Brooks,2457551.5,2016-06-12.0,3.375,0.46,179,2014-05-05,2022-01-29
"   17P/Holmes",5.19,2014-03-26.7,0.4302,2.066,19.07,326.77,24.74,6.91,JFc,4401,0,2211,,2.9e-09,9.8e-10,,,Holmes,2457680.5,2016-10-19.0,3.626,1.07,418,2011-01-04,2023-01-22
"   18D/Perrine-Mrkos",5.85,1968-11-01.5,0.6426,1.272,17.76,240.88,166.05,6.72,JFc,2584,1,16,,,,,,Perrine-Mrkos,2440240.5,1969-01-19.0,3.56,0.289,113,1961-11-29,1968-12-26
"   19P/Borrelly",5.91,2022-02-01.7,0.6379,1.306,29.32,74.30,351.86,6.85,JFc,3565,0,2452,,3.1e-09,-5.9e-10,,,Borrelly,2459279.5,2021-03-06.0,3.607,0.324,126,2014-07-29,2024-05-02
"   20D/Westphal",30.03,1913-11-26.7,0.9198,1.254,40.89,348.01,57.08,61.9,HTC,22321,0,201,,,,,,Westphal,2420080.5,1913-11-09.0,15.64,0.468,182,1852-09-01,1913-10-13
"   21P/Giacobini-Zinner",5.99,2018-09-10.2,0.7105,1.013,32.00,195.40,172.81,6.55,JFc,4922,0,1993,,3.5e-09,-1.5e-09,-2.0e-09,,Giacobini-Zinner,2458070.5,2017-11-13.0,3.5,0.0178,6.91,2011-05-01,2024-10-21
"   22P/Kopff",5.33,2022-03-17.8,0.5486,1.555,4.74,120.84,162.91,6.39,JFc,3753,0,2677,,,,,,Kopff,2458540.5,2019-02-26.0,3.444,0.539,210,2013-12-30,2024-04-09
"   23P/Brorsen-Metcalf",33.66,1989-09-11.9,0.9720,0.479,19.33,311.59,129.61,70.5,HTC,51904,0,223,,2.2e-09,-5.3e-10,,,Brorsen-Metcalf,2447800.5,1989-10-01.0,17.07,0.194,75.4,1847-08-01,1989-09-09
"   24P/Schaumasse",6.97,2017-11-16.7,0.7048,1.206,11.73,79.67,58.00,8.26,JFc,6464,3,832,,1.1e-09,-1.0e-09,,,Schaumasse,2457350.5,2015-11-24.0,4.086,0.283,110,2000-10-07,2018-06-19
"   25D/Neujmin 2",4.84,1927-01-16.2,0.5668,1.338,10.64,328.72,193.70,5.43,JFc,3994,1,55,,,,,,Neujmin,2424960.5,1927-03-21.0,3.089,0.35,136,1916-03-05,1927-02-10
"   26P/Grigg-Skjellerup",4.96,2013-07-06.0,0.6397,1.090,22.46,211.63,1.90,5.26,JFc,6137,0,511,,,-4.6e-12,,,Grigg-Skjellerup,2456017.5,2012-03-31.0,3.024,0.0848,33,2007-12-19,2024-10-07
"   27P/Crommelin",17.45,2011-08-02.5,0.9193,0.734,29.22,250.96,195.96,27.4,HTC,20203,0,455,,5.1e-10,-2.7e-12,,,Crommelin,2452489.5,2002-08-03.0,9.093,0.229,89,1956-10-03,2012-01-26
"   28P/Neujmin 1",12.38,2021-03-11.7,0.7736,1.581,14.31,346.34,347.47,18.4,JFc,40390,0,1208,,,,,,Neujmin,2460047.5,2023-04-13.0,6.982,0.574,223,1913-09-08,2024-04-08
"   29P/Schwassmann-Wachmann 1",6.32,2019-04-16.4,0.0448,5.775,9.36,312.39,50.66,14.9,JFc,5832,0,739,,,,,,Schwassmann-Wachmann,2459866.5,2022-10-14.0,6.046,4.78,1.86e+03,2009-02-17,2025-02-05
"   30P/Reinmuth 1",5.67,2017-08-19.0,0.5023,1.877,8.13,119.72,13.24,7.32,JFc,5792,0,2504,,,,,,Reinmuth,2457433.5,2016-02-15.0,3.771,0.892,347,2009-08-20,2025-06-29
"   31P/Schwassmann-Wachmann 2",5.06,2010-09-29.4,0.1930,3.424,4.55,114.19,17.93,8.74,JFc,7492,0,1023,,,-5.3e-08,,,Schwassmann-Wachmann,2455565.5,2011-01-04.0,4.243,2.44,949,2000-11-24,2021-05-30
"   32P/Comas Sola",7.00,2024-05-01.5,0.5567,1.994,9.94,57.67,53.30,9.54,JFc,4271,0,2867,,1.2e-08,-1.4e-09,7.4e-10,,"Comas Sola",2458831.5,2019-12-14.0,4.499,1.03,401,2013-09-24,2025-06-04
"   33P/Daniel",5.89,2016-08-22.4,0.4632,2.160,22.39,66.49,19.06,8.07,JFc,8897,0,773,,5.6e-09,4.7e-10,,,Daniel,2457411.5,2016-01-24.0,4.024,1.19,462,2000-12-22,2025-05-02
"   34D/Gale",8.70,1938-06-18.4,0.7607,1.183,11.73,67.92,209.16,11,JFc,,,47,F,,,,,Gale,2429080.5,1938-07-01.0,4.944,,,1927-??-??,1938-??-??
"   35P/Herschel-Rigollet",56.94,1939-08-09.4,0.9740,0.748,64.21,355.98,29.30,155,HTC,,,75,F,,,,,Herschel-Rigollet,2429480.5,1939-08-05.0,28.84,,,1788-??-??,1940-??-??
"   36P/Whipple",5.24,2012-01-01.4,0.2582,3.089,9.94,182.39,201.96,8.5,JFc,26894,0,943,,5.3e-09,-5.4e-10,,,Whipple,2454690.5,2008-08-12.0,4.165,2.1,815,1948-07-18,2022-03-06
"   37P/Forbes",5.30,2018-05-04.1,0.5342,1.611,8.96,314.58,330.02,6.43,JFc,5080,0,1737,,6.1e-09,-1.3e-10,5.4e-10,-22.7,Forbes,2458669.5,2019-07-05.0,3.458,0.602,234,2011-02-08,2025-01-05
"   38P/Stephan-Oterma",20.99,2018-11-10.9,0.8593,1.589,18.35,78.00,359.59,37.9,HTC,28321,0,3293,,,-2.7e-11,,,Stephan-Oterma,2458266.5,2018-05-28.0,11.29,0.605,236,1942-11-06,2020-05-21
"   39P/Oterma",9.09,2023-04-09.2,0.2284,5.712,1.48,303.64,89.70,20.1,CTc,29851,0,287,,,,,,Oterma,2456994.5,2014-12-03.0,7.403,4.72,1.84e+03,1942-02-17,2023-11-10
"   40P/Vaisala 1",7.99,2004-01-22.9,0.6330,1.795,11.54,134.73,47.23,10.8,JFc,31471,0,1177,,2.2e-10,-6.0e-11,2.9e-10,-97.4,Vaisala,2452749.5,2003-04-20.0,4.892,0.823,320,1939-01-18,2025-03-18
"   41P/Tuttle-Giacobini-Kresak",5.13,2017-04-12.7,0.6613,1.045,9.23,141.06,62.17,5.42,JFc,2498,3,4300,,6.6e-09,-2.1e-10,,,Tuttle-Giacobini-Kresak,2457857.5,2017-04-14.0,3.085,0.134,52,2016-11-10,2023-09-13
"   42P/Neujmin 3",7.70,2004-07-16.2,0.5856,2.013,3.99,150.35,147.18,10.7,JFc,8087,0,262,,1.0e-08,8.9e-10,,,Neujmin,2454120.5,2007-01-20.0,4.858,0.997,388,2003-03-12,2025-05-02
"   43P/Wolf-Harrington",5.38,2016-08-29.3,0.6042,1.327,16.69,249.22,192.33,6.14,JFc,5797,1,2756,,4.3e-09,1.5e-10,,,Wolf-Harrington,2458414.5,2018-10-23.0,3.352,0.347,135,2009-05-24,2025-04-07
"   44P/Reinmuth 2",5.26,2022-04-23.6,0.4270,2.114,5.90,286.48,58.12,7.09,JFc,3605,0,1496,,,,,,Reinmuth,2458939.5,2020-03-31.0,3.689,1.11,433,2014-05-01,2024-03-14
"   45P/Honda-Mrkos-Pajdusakova",5.52,2016-12-31.2,0.8240,0.533,4.25,88.93,326.34,5.26,JFc,2067,1,1823,,5.4e-09,1.8e-10,,-25.8,Honda-Mrkos-Pajdusakova,2457979.5,2017-08-14.0,3.026,0.0604,23.5,2016-11-05,2022-07-04
"   46P/Wirtanen",5.13,2018-12-12.9,0.6588,1.055,11.75,82.16,356.34,5.44,JFc,3693,2,4224,,4.1e-09,-1.2e-09,6.9e-10,-14.1,Wirtanen,2458465.5,2018-12-13.0,3.093,0.0713,27.8,2013-10-30,2023-12-10
"   47P/Ashbrook-Jackson",5.43,2017-06-10.7,0.3173,2.812,13.04,357.00,357.90,8.36,JFc,9644,0,2399,,,4.9e-10,,,Ashbrook-Jackson,2456576.5,2013-10-11.0,4.119,1.81,703,1999-02-13,2025-07-10
"   48P/Johnson",5.02,2018-08-09.3,0.4288,2.007,12.25,111.20,215.01,6.58,JFc,5474,0,1633,,-1.2e-09,-7.1e-11,,,Johnson,2457549.5,2016-06-10.0,3.513,1.01,392,2010-07-08,2025-07-03
"   49P/Arend-Rigaux",5.71,2011-10-19.2,0.6003,1.426,19.06,118.83,332.92,6.74,JFc,7640,0,4336,,,-9.0e-12,,,Arend-Rigaux,2456911.5,2014-09-11.0,3.567,0.466,181,2004-06-24,2025-05-25
"   50P/Arend",6.26,2007-11-02.7,0.5306,1.918,19.16,355.31,49.04,8.26,JFc,9404,0,1872,,1.0e-09,3.0e-10,,-204,Arend,2455734.5,2011-06-22.0,4.087,0.978,381,1999-08-03,2025-05-02
"   51P/Harrington",5.72,2015-08-12.4,0.5420,1.699,5.42,83.72,269.16,7.15,JFc,2701,2,99,,3.0e-07,-8.7e-08,-2.1e-08,,Harrington,2457925.5,2017-06-21.0,3.71,0.703,274,2015-05-25,2022-10-16
"   51P/Harrington-A",5.59,2001-06-05.6,0.5621,1.568,8.65,119.19,233.59,6.78,JFc,7593,2,246,,2.6e-08,3.1e-09,,,Harrington,2451677.5,2000-05-13.0,3.581,0.582,226,1994-09-10,2015-06-25
"   51P/Harrington-D",5.72,2022-10-02.7,0.5424,1.697,5.43,83.68,269.23,7.14,JFc,2732,1,142,,,1.4e-08,,,Harrington,2458624.5,2019-05-21.0,3.709,0.703,274,2015-05-30,2022-11-21
"   52P/Harrington-Abell",5.94,2014-03-07.3,0.5400,1.775,10.23,336.84,139.66,7.58,JFc,3159,0,1164,,-4.8e-09,-7.7e-11,,,Harrington-Abell,2457578.5,2016-07-09.0,3.859,0.804,313,2013-10-01,2022-05-26
"   53P/Van Biesbroeck",8.38,2016-04-30.8,0.5511,2.426,6.61,148.90,134.26,12.6,JFc,6192,0,2920,,-1.2e-08,4.5e-09,2.3e-09,-183,"Van Biesbroeck",2455790.5,2011-08-17.0,5.405,1.42,551,2001-02-20,2018-02-03
"   54P/de Vico-Swift-NEAT",5.41,2024-09-03.6,0.4261,2.176,6.06,358.82,1.79,7.38,JFc,5582,1,275,,,,,,"de Vico-Swift-NEAT",2459461.5,2021-09-04.0,3.791,1.17,456,2009-08-15,2024-11-26
"   55P/Tempel-Tuttle",19.70,1998-02-28.0,0.9056,0.976,162.49,235.27,172.50,33.2,HTC,48407,,392,,1.6e-09,9.2e-11,,,Tempel-Tuttle,2451040.5,1998-08-15.0,10.34,0.00848,3.3,1865-12-22,1998-07-05
"   56P/Slaughter-Burnham",7.67,2016-07-18.0,0.5073,2.506,8.15,346.04,44.22,11.5,JFc,4940,0,1986,,-3.8e-08,2.0e-08,,,Slaughter-Burnham,2456516.5,2013-08-12.0,5.086,1.52,591,2004-07-15,2018-01-23
"   57P/duToit-Neujmin-Delporte",5.17,2015-05-22.5,0.4998,1.726,2.85,188.81,115.13,6.41,JFc,5426,0,1383,,1.2e-08,-5.9e-11,-6.1e-10,,duToit-Neujmin-Delporte,2458178.5,2018-03-01.0,3.45,0.714,278,2008-04-02,2023-02-09
"   57P/duToit-Neujmin-Delporte-A",5.17,2002-07-31.1,0.4990,1.729,2.84,188.93,115.23,6.41,JFc,4946,1,533,,1.9e-08,-1.6e-10,-7.5e-10,,duToit-Neujmin-Delporte,2452640.5,2003-01-01.0,3.452,0.715,278,1989-05-22,2002-12-06
"   58P/Jackson-Neujmin",6.79,2020-05-27.4,0.6626,1.377,13.11,159.08,200.44,8.25,JFc,229,4,141,,,,,,Jackson-Neujmin,2459043.5,2020-07-13.0,4.083,0.381,148,2020-04-08,2020-11-23
"   59P/Kearns-Kwee",6.63,2009-03-09.6,0.4764,2.352,9.34,312.86,127.75,9.52,JFc,3925,0,1270,,,,,,Kearns-Kwee,2456600.5,2013-11-04.0,4.491,1.38,537,2008-07-09,2019-04-08
"   60P/Tsuchinshan 2",5.40,2018-12-11.2,0.5378,1.623,3.61,267.58,216.55,6.58,JFc,4866,0,1247,,,-5.8e-11,,,Tsuchinshan,2458393.5,2018-10-02.0,3.51,0.64,249,2011-10-29,2025-02-23
"   61P/Shajn-Schaldach",5.26,2022-10-23.8,0.4242,2.126,6.00,162.97,221.66,7.09,JFc,2569,3,895,,-1.9e-08,1.7e-08,-2.9e-09,,Shajn-Schaldach,2459852.5,2022-09-30.0,3.692,1.13,441,2017-01-27,2024-02-09
"   62P/Tsuchinshan 1",5.49,2017-11-16.1,0.5975,1.384,9.71,90.24,30.35,6.37,JFc,7200,0,3392,,6.3e-09,-4.6e-10,-9.5e-10,,Tsuchinshan,2458054.5,2017-10-28.0,3.438,0.411,160,2004-09-14,2024-06-01
"   63P/Wild 1",9.22,2013-04-10.8,0.6509,1.951,19.78,358.00,169.03,13.2,JFc,19491,0,1948,,3.0e-09,-1.1e-09,,,Wild,2456717.5,2014-03-01.0,5.588,0.96,374,1960-04-16,2013-08-27
"   64P/Swift-Gehrels",7.52,2018-11-03.9,0.6873,1.393,8.95,300.00,97.14,9.41,JFc,6707,0,3436,,,5.1e-10,,,Swift-Gehrels,2458096.5,2017-12-09.0,4.456,0.44,171,2000-12-22,2019-05-04
"   65P/Gunn",4.85,2017-10-17.7,0.2499,2.913,9.18,62.02,213.79,7.65,JFc,4169,0,3061,,-3.0e-08,1.1e-09,4.5e-08,555,Gunn,2459017.5,2020-06-17.0,3.884,1.9,740,2014-02-04,2025-07-05
"   66P/du Toit",10.76,2018-05-20.4,0.7866,1.285,18.67,22.00,257.34,14.8,JFc,16304,0,547,,7.7e-10,-8.9e-11,,,"du Toit",2456961.5,2014-10-31.0,6.023,0.438,171,1974-03-22,2018-11-10
"   67P/Churyumov-Gerasimenko",5.68,2015-08-13.0,0.6409,1.243,7.04,50.14,12.80,6.44,JFc,5442,0,8608,,1.0e-09,-6.7e-11,3.0e-10,45.7,Churyumov-Gerasimenko,2457305.5,2015-10-10.0,3.462,0.257,100,2008-06-01,2023-04-26
"   68P/Klemola",8.04,2019-11-11.8,0.6403,1.762,11.18,175.30,153.84,10.8,JFc,4656,0,1680,,,,,,Klemola,2457453.5,2016-03-06.0,4.899,0.758,295,2008-04-13,2021-01-11
"   69P/Taylor",5.50,2019-03-18.4,0.4136,2.280,22.04,104.85,343.67,7.67,JFc,2686,1,46,,,,,,Taylor,2457557.5,2016-06-18.0,3.889,1.31,508,2011-10-28,2019-03-06
"   70P/Kojima",5.34,2014-10-20.6,0.4539,2.007,6.60,119.27,1.96,7.04,JFc,18799,0,2086,,2.0e-10,-7.5e-11,,,Kojima,2457135.5,2015-04-23.0,3.675,1.02,398,1970-12-27,2022-06-16
"   71P/Clark",4.69,2017-06-30.3,0.4945,1.587,9.44,59.44,208.97,5.56,JFc,2842,1,1360,,2.3e-08,-2.5e-10,1.6e-09,28.6,Clark,2458635.5,2019-06-01.0,3.139,0.579,225,2016-03-04,2023-12-15
"   72P/Denning-Fujikawa",7.91,2014-07-12.2,0.8205,0.781,9.23,35.44,338.47,9.06,JFc,16324,1,66,,,1.8e-10,,,Denning-Fujikawa,2457286.5,2015-09-21.0,4.347,0.0882,34.3,1978-10-10,2023-06-20
"   73P/Schwassmann-Wachmann 3",5.21,2017-03-16.8,0.6855,0.972,11.24,69.66,199.39,5.44,JFc,2740,3,515,,4.8e-09,6.9e-10,,,Schwassmann-Wachmann,2457800.5,2017-02-16.0,3.091,0.0144,5.62,2016-02-13,2023-08-15
"   73P/Schwassmann-Wachmann 3-A",5.20,1995-09-22.9,0.6957,0.933,11.42,69.94,198.83,5.37,JFc,58,7,62,,,,,,Schwassmann-Wachmann,2450080.5,1995-12-29.0,3.067,0.0446,17.4,1995-12-23,1996-02-19
"   73P/Schwassmann-Wachmann 3-B",5.18,2006-06-07.9,0.6933,0.939,11.40,69.89,198.80,5.36,JFc,3806,2,1484,,1.5e-08,2.0e-09,,,Schwassmann-Wachmann,2453880.5,2006-05-25.0,3.062,0.0407,15.8,1995-12-23,2006-05-25
"   73P/Schwassmann-Wachmann 3-C",5.18,2011-10-16.8,0.6922,0.943,11.38,69.84,198.87,5.36,JFc,5853,0,3223,,6.5e-09,4.8e-10,,-12.2,Schwassmann-Wachmann,2455980.5,2012-02-23.0,3.063,0.0384,14.9,1995-12-15,2011-12-24
"   73P/Schwassmann-Wachmann 3-E",5.19,2001-01-28.4,0.6939,0.937,11.41,69.92,198.77,5.36,JFc,4021,0,129,,1.7e-08,5.8e-09,,,Schwassmann-Wachmann,2451920.5,2001-01-11.0,3.062,0.041,16,1989-12-09,2000-12-12
"   73P/Schwassmann-Wachmann 3-G",5.19,2006-06-08.0,0.6934,0.939,11.39,69.91,198.77,5.36,JFc,72,5,551,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.063,0.0405,15.8,2006-02-20,2006-05-03
"   73P/Schwassmann-Wachmann 3-H",5.19,2006-06-08.2,0.6936,0.939,11.39,69.91,198.77,5.37,JFc,68,5,112,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.065,0.0406,15.8,2006-03-04,2006-05-11
"   73P/Schwassmann-Wachmann 3-J",5.15,2006-06-08.1,0.6915,0.939,11.38,69.83,198.87,5.31,JFc,28,7,42,,,,,,Schwassmann-Wachmann,2453815.5,2006-03-21.0,3.044,0.0407,15.8,2006-03-05,2006-04-02
"   73P/Schwassmann-Wachmann 3-K",5.19,2006-06-08.2,0.6935,0.939,11.39,69.90,198.79,5.36,JFc,47,6,42,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.064,0.0406,15.8,2006-03-05,2006-04-21
"   73P/Schwassmann-Wachmann 3-L",5.21,2006-06-08.3,0.6947,0.939,11.40,69.94,198.75,5.4,JFc,58,6,39,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.076,0.0407,15.8,2006-03-05,2006-05-02
"   73P/Schwassmann-Wachmann 3-M",5.20,2006-06-08.2,0.6939,0.939,11.39,69.91,198.78,5.37,JFc,44,7,73,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.068,0.0406,15.8,2006-03-23,2006-05-06
"   73P/Schwassmann-Wachmann 3-N",5.17,2006-06-08.2,0.6923,0.939,11.38,69.90,198.76,5.33,JFc,41,6,133,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.052,0.0405,15.8,2006-03-23,2006-05-03
"   73P/Schwassmann-Wachmann 3-P",5.23,2006-06-07.8,0.6956,0.939,11.41,69.96,198.72,5.42,JFc,29,7,55,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.085,0.0407,15.8,2006-03-23,2006-04-21
"   73P/Schwassmann-Wachmann 3-Q",5.30,2006-06-07.6,0.6986,0.940,11.42,70.14,198.50,5.51,JFc,17,9,37,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.118,0.0407,15.9,2006-03-23,2006-04-09
"   73P/Schwassmann-Wachmann 3-R",5.20,2006-06-08.1,0.6941,0.939,11.39,69.91,198.77,5.38,JFc,39,6,280,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.07,0.0406,15.8,2006-03-24,2006-05-02
"   73P/Schwassmann-Wachmann 3-S",5.65,2006-06-08.7,0.6934,1.022,11.05,81.99,181.56,6.09,JFc,1,9,11,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.334,0.00735,2.86,2006-03-24,2006-03-25
"   73P/Schwassmann-Wachmann 3-T",5.18,2006-06-08.8,0.6930,0.940,11.40,69.89,198.81,5.35,JFc,4087,1,44,,,,,,Schwassmann-Wachmann,2454375.5,2007-10-02.0,3.061,0.0398,15.5,2006-03-23,2017-05-31
"   73P/Schwassmann-Wachmann 3-U",5.11,2006-06-09.0,0.6894,0.939,11.36,69.83,198.84,5.26,JFc,16,8,21,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.024,0.0403,15.7,2006-03-23,2006-04-08
"   73P/Schwassmann-Wachmann 3-V",5.08,2006-06-08.6,0.6935,0.920,11.57,66.63,203.11,5.2,JFc,10,9,11,,,,,,Schwassmann-Wachmann,2453824.5,2006-03-30.0,3.002,0.0434,16.9,2006-03-23,2006-04-02
"   73P/Schwassmann-Wachmann 3-W",5.29,2006-06-08.4,0.6983,0.939,11.42,70.04,198.63,5.49,JFc,29,8,15,,,,,,Schwassmann-Wachmann,2453834.5,2006-04-09.0,3.112,0.0407,15.8,2006-03-23,2006-04-21
"   73P/Schwassmann-Wachmann 3-X",5.23,2006-06-08.5,0.6954,0.939,11.40,69.94,198.74,5.41,JFc,36,6,38,,,,,,Schwassmann-Wachmann,2453838.5,2006-04-13.0,3.083,0.0406,15.8,2006-04-02,2006-05-08
"   73P/Schwassmann-Wachmann 3-Y",5.72,2006-06-08.6,0.7181,0.939,11.55,70.63,198.01,6.08,JFc,34,8,15,,,,,,Schwassmann-Wachmann,2453828.5,2006-04-03.0,3.332,0.0422,16.4,2006-03-23,2006-04-26
"   73P/Schwassmann-Wachmann 3-Z",5.20,2006-06-08.3,0.6934,0.942,11.34,70.58,197.91,5.39,JFc,6,9,16,,,,,,Schwassmann-Wachmann,2453830.5,2006-04-05.0,3.073,0.0402,15.6,2006-04-02,2006-04-08
"   73P/Schwassmann-Wachmann 3-AA",4.94,2006-06-09.1,0.6806,0.939,11.30,69.57,199.11,5.04,JFc,19,8,36,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,2.941,0.0398,15.5,2006-04-02,2006-04-21
"   73P/Schwassmann-Wachmann 3-AB",5.14,2006-06-08.7,0.6912,0.939,11.37,69.86,198.82,5.31,JFc,31,7,35,,,,,,Schwassmann-Wachmann,2453856.5,2006-05-01.0,3.042,0.0406,15.8,2006-04-02,2006-05-03
"   73P/Schwassmann-Wachmann 3-AC",5.23,2006-06-08.6,0.6954,0.939,11.41,69.93,198.75,5.41,JFc,30,7,45,,,,,,Schwassmann-Wachmann,2453856.5,2006-05-01.0,3.083,0.0408,15.9,2006-04-02,2006-05-02
"   73P/Schwassmann-Wachmann 3-AD",5.19,2006-06-08.6,0.6934,0.941,11.37,70.22,198.37,5.37,JFc,6,9,11,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.068,0.0404,15.7,2006-04-02,2006-04-08
"   73P/Schwassmann-Wachmann 3-AE",5.25,2006-06-08.3,0.6967,0.939,11.41,69.97,198.71,5.45,JFc,20,8,43,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.096,0.0408,15.9,2006-04-02,2006-04-22
"   73P/Schwassmann-Wachmann 3-AF",4.87,2006-06-07.0,0.6763,0.941,11.24,69.85,198.72,4.96,JFc,7,9,25,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,2.908,0.0394,15.3,2006-04-02,2006-04-09
"   73P/Schwassmann-Wachmann 3-AG",5.23,2006-06-08.9,0.6958,0.939,11.41,69.96,198.71,5.42,JFc,24,7,79,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.087,0.0408,15.9,2006-04-02,2006-04-26
"   73P/Schwassmann-Wachmann 3-AH",5.21,2006-06-08.6,0.6934,0.943,11.33,70.71,197.74,5.39,JFc,3,9,19,,,,,,Schwassmann-Wachmann,2453839.5,2006-04-14.0,3.075,0.0402,15.6,2006-04-05,2006-04-08
"   73P/Schwassmann-Wachmann 3-AI",5.28,2006-06-08.7,0.6982,0.939,11.43,69.97,198.73,5.49,JFc,31,8,17,,,,,,Schwassmann-Wachmann,2453836.5,2006-04-11.0,3.111,0.0407,15.8,2006-04-07,2006-05-08
"   73P/Schwassmann-Wachmann 3-AJ",4.63,2006-06-08.9,0.6624,0.941,11.14,69.39,199.21,4.65,JFc,19,9,19,,,-1.2e-06,,,Schwassmann-Wachmann,2453833.5,2006-04-08.0,2.786,0.0387,15.1,2006-04-07,2006-04-26
